Plan Name,Disease,Premium Type,Maximum Coverage,Deductible,Co-pay Percentage,Out-of-Pocket,Waiting Period,Claims Settled,Renewability,Hospital Coverage,Benefits,Tax Redemption
Family Health Insurance,Myocarditis,Basic,502924.0,5%,20%,140818.0,177,87.0,Renewable,10092.0,Family Health Insurance Basic offers Rs.502924.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 177 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Myocarditis,Lite,620758.0,10%,10%,101183.0,150,94.0,Renewable,10199.0,"For Family Health Insurance Lite, enjoy Rs.620758.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 150 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Myocarditis,Premier,768496.0,15%,5%,74927.0,130,99.0,Renewable,10490.0,"For Family Health Insurance Premier, access Rs.768496.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 130 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Obesity,Basic,415457.0,5%,20%,116327.0,179,87.0,Renewable,10180.0,Family Health Insurance Basic offers Rs.415457.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 179 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Obesity,Lite,546388.0,10%,10%,89061.0,156,92.0,Renewable,10334.0,"Family Health Insurance Lite provides Rs.546388.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 156 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Obesity,Premier,682173.0,15%,5%,66511.0,139,97.0,Renewable,10354.0,"Family Health Insurance Premier offers Rs.682173.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 139 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Obsessive-Compulsive Disorder,Basic,177729.0,5%,20%,49763.0,168,87.0,Renewable,10148.0,"For Family Health Insurance Basic, receive Rs.177729.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 168 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Obsessive-Compulsive Disorder,Lite,313617.0,10%,10%,51119.0,152,92.0,Renewable,10171.0,"For Family Health Insurance Lite, enjoy Rs.313617.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 152 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Obsessive-Compulsive Disorder,Premier,462258.0,15%,5%,45069.0,126,96.0,Renewable,10286.0,"Family Health Insurance Premier offers Rs.462258.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 126 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Open Fracture,Basic,350708.0,5%,20%,98197.0,77,87.0,Renewable,10269.0,Family Health Insurance Basic offers Rs.350708.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 77 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Open Fracture,Lite,498417.0,10%,10%,81241.0,22,91.0,Renewable,10335.0,"Family Health Insurance Lite provides Rs.498417.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 22 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Open Fracture,Premier,619101.0,15%,5%,60362.0,37,99.0,Renewable,10567.0,"For Family Health Insurance Premier, access Rs.619101.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 37 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Osteoarthritis,Basic,433474.0,5%,20%,121372.0,161,88.0,Renewable,10236.0,"For Family Health Insurance Basic, receive Rs.433474.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 161 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Osteoarthritis,Lite,572070.0,10%,10%,93246.0,147,92.0,Renewable,10413.0,"For Family Health Insurance Lite, enjoy Rs.572070.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 147 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Osteoarthritis,Premier,687716.0,15%,5%,67051.0,130,96.0,Renewable,10596.0,"Family Health Insurance Premier offers Rs.687716.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 130 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Osteoporosis,Basic,444985.0,5%,20%,124595.0,176,87.0,Renewable,10004.0,Family Health Insurance Basic offers Rs.444985.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 176 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Osteoporosis,Lite,586660.0,10%,10%,95625.0,159,93.0,Renewable,10008.0,"For Family Health Insurance Lite, enjoy Rs.586660.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 159 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Osteoporosis,Premier,720194.0,15%,5%,70218.0,126,97.0,Renewable,10250.0,"Family Health Insurance Premier offers Rs.720194.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 126 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Panic Disorder,Basic,171956.0,5%,20%,48147.0,167,87.0,Renewable,10237.0,"Benefit from Rs.171956.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 167 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Panic Disorder,Lite,313897.0,10%,10%,51164.0,141,91.0,Renewable,10343.0,"Family Health Insurance Lite provides Rs.313897.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 141 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Panic Disorder,Premier,421178.0,15%,5%,41064.0,123,100.0,Renewable,10494.0,"Family Health Insurance Premier offers Rs.421178.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 123 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Parkinson's Disease,Basic,529924.0,5%,20%,148378.0,178,88.0,Renewable,10133.0,"For Family Health Insurance Basic, receive Rs.529924.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 178 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Parkinson's Disease,Lite,647014.0,10%,10%,105462.0,150,92.0,Renewable,10199.0,"For Family Health Insurance Lite, enjoy Rs.647014.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 150 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Parkinson's Disease,Premier,789367.0,15%,5%,76962.0,127,98.0,Renewable,10495.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.789367.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 127 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Penetrating Wound,Basic,369828.0,5%,20%,103551.0,74,87.0,Renewable,10115.0,Family Health Insurance Basic offers Rs.369828.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 74 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Penetrating Wound,Lite,484495.0,10%,10%,78972.0,43,93.0,Renewable,10144.0,"Family Health Insurance Lite provides Rs.484495.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 43 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Penetrating Wound,Premier,630519.0,15%,5%,61474.0,22,98.0,Renewable,10357.0,"For Family Health Insurance Premier, access Rs.630519.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 22 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Pericarditis,Basic,482068.0,5%,20%,134978.0,161,90.0,Renewable,10094.0,"For Family Health Insurance Basic, receive Rs.482068.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 161 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Pericarditis,Lite,583375.0,10%,10%,95089.0,154,91.0,Renewable,10140.0,"For Family Health Insurance Lite, enjoy Rs.583375.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 154 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Pericarditis,Premier,685070.0,15%,5%,66793.0,126,99.0,Renewable,10381.0,"For Family Health Insurance Premier, access Rs.685070.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 126 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Peripheral Artery Disease,Basic,424372.0,5%,20%,118824.0,161,87.0,Renewable,10129.0,"For Family Health Insurance Basic, receive Rs.424372.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 161 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Peripheral Artery Disease,Lite,550346.0,10%,10%,89706.0,155,95.0,Renewable,10349.0,"Family Health Insurance Lite provides Rs.550346.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 155 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Peripheral Artery Disease,Premier,665310.0,15%,5%,64867.0,121,97.0,Renewable,10625.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.665310.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 121 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Peripheral Neuropathy,Basic,421450.0,5%,20%,118006.0,174,90.0,Renewable,10005.0,"Benefit from Rs.421450.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 174 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Peripheral Neuropathy,Lite,551158.0,10%,10%,89838.0,151,94.0,Renewable,10063.0,"For Family Health Insurance Lite, enjoy Rs.551158.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 151 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Peripheral Neuropathy,Premier,683042.0,15%,5%,66596.0,137,97.0,Renewable,10263.0,"Family Health Insurance Premier offers Rs.683042.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 137 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Permanent Blindness,Basic,499407.0,5%,20%,139833.0,160,89.0,Renewable,10120.0,"For Family Health Insurance Basic, receive Rs.499407.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 160 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Permanent Blindness,Lite,619408.0,10%,10%,100963.0,147,93.0,Renewable,10324.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.619408.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 147 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Permanent Blindness,Premier,730220.0,15%,5%,71196.0,137,96.0,Renewable,10358.0,"Family Health Insurance Premier offers Rs.730220.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 137 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Permanent Deafness,Basic,471065.0,5%,20%,131897.0,161,89.0,Renewable,10266.0,Family Health Insurance Basic offers Rs.471065.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 161 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Permanent Deafness,Lite,604904.0,10%,10%,98599.0,160,95.0,Renewable,10336.0,"Family Health Insurance Lite provides Rs.604904.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 160 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Permanent Deafness,Premier,734086.0,15%,5%,71573.0,129,98.0,Renewable,10395.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.734086.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 129 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Permanent Loss of Speech,Basic,499820.0,5%,20%,139949.0,174,88.0,Renewable,10252.0,"For Family Health Insurance Basic, receive Rs.499820.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 174 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Permanent Loss of Speech,Lite,601207.0,10%,10%,97996.0,148,92.0,Renewable,10446.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.601207.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 148 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Permanent Loss of Speech,Premier,728337.0,15%,5%,71012.0,121,96.0,Renewable,10682.0,"Family Health Insurance Premier offers Rs.728337.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 121 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Pertussis,Basic,174497.0,5%,20%,48858.0,50,89.0,Renewable,10011.0,"Benefit from Rs.174497.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 50 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Pertussis,Lite,319683.0,10%,10%,52107.0,17,94.0,Renewable,10016.0,"For Family Health Insurance Lite, enjoy Rs.319683.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 17 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Pertussis,Premier,426350.0,15%,5%,41568.0,84,96.0,Renewable,10259.0,"Family Health Insurance Premier offers Rs.426350.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 84 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Poliomyelitis,Basic,328933.0,5%,20%,92101.0,168,87.0,Renewable,10235.0,"For Family Health Insurance Basic, receive Rs.328933.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 168 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Poliomyelitis,Lite,437072.0,10%,10%,71242.0,158,94.0,Renewable,10381.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.437072.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 158 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Poliomyelitis,Premier,582018.0,15%,5%,56745.0,124,98.0,Renewable,10542.0,"For Family Health Insurance Premier, access Rs.582018.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 124 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Post Covid Syndrome,Basic,447180.0,5%,20%,125210.0,13,89.0,Renewable,10266.0,"For Family Health Insurance Basic, receive Rs.447180.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 13 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Post Covid Syndrome,Lite,580127.0,10%,10%,94559.0,25,92.0,Renewable,10488.0,"For Family Health Insurance Lite, enjoy Rs.580127.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 25 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Post Covid Syndrome,Premier,704589.0,15%,5%,68697.0,22,99.0,Renewable,10770.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.704589.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 22 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Post-Traumatic Stress Disorder,Basic,209843.0,5%,20%,58755.0,171,90.0,Renewable,10160.0,"Benefit from Rs.209843.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 171 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Post-Traumatic Stress Disorder,Lite,349478.0,10%,10%,56964.0,156,91.0,Renewable,10210.0,"For Family Health Insurance Lite, enjoy Rs.349478.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 156 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Post-Traumatic Stress Disorder,Premier,487665.0,15%,5%,47547.0,134,98.0,Renewable,10410.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.487665.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 134 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Post-Viral Fatigue Syndrome,Basic,441582.0,5%,20%,123642.0,44,89.0,Renewable,10024.0,"Benefit from Rs.441582.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 44 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Post-Viral Fatigue Syndrome,Lite,569905.0,10%,10%,92894.0,15,94.0,Renewable,10264.0,"Family Health Insurance Lite provides Rs.569905.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 15 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Post-Viral Fatigue Syndrome,Premier,688737.0,15%,5%,67151.0,31,98.0,Renewable,10472.0,"Family Health Insurance Premier offers Rs.688737.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 31 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Primary Pulmonary Arterial Hypertension,Basic,786150.0,5%,20%,220122.0,176,87.0,Renewable,10039.0,"For Family Health Insurance Basic, receive Rs.786150.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 176 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Primary Pulmonary Arterial Hypertension,Lite,893187.0,10%,10%,145589.0,155,93.0,Renewable,10085.0,"For Family Health Insurance Lite, enjoy Rs.893187.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 155 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Primary Pulmonary Arterial Hypertension,Premier,1021035.0,15%,5%,99550.0,124,99.0,Renewable,10315.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.1021035.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 124 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Pulmonary Embolism,Basic,444876.0,5%,20%,124564.0,172,88.0,Renewable,10176.0,"Benefit from Rs.444876.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 172 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Pulmonary Embolism,Lite,570891.0,10%,10%,93054.0,157,93.0,Renewable,10216.0,"For Family Health Insurance Lite, enjoy Rs.570891.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 157 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Pulmonary Embolism,Premier,705897.0,15%,5%,68824.0,136,96.0,Renewable,10514.0,"Family Health Insurance Premier offers Rs.705897.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 136 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,RSV Infection,Basic,162309.0,5%,20%,45445.0,55,89.0,Renewable,10037.0,"For Family Health Insurance Basic, receive Rs.162309.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 55 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,RSV Infection,Lite,303133.0,10%,10%,49410.0,63,92.0,Renewable,10098.0,"Family Health Insurance Lite provides Rs.303133.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 63 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,RSV Infection,Premier,423984.0,15%,5%,41338.0,75,100.0,Renewable,10225.0,"Family Health Insurance Premier offers Rs.423984.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 75 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Restless Leg Syndrome,Basic,178144.0,5%,20%,49880.0,169,88.0,Renewable,10004.0,"For Family Health Insurance Basic, receive Rs.178144.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 169 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Restless Leg Syndrome,Lite,291123.0,10%,10%,47452.0,152,94.0,Renewable,10057.0,"Family Health Insurance Lite provides Rs.291123.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 152 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Restless Leg Syndrome,Premier,433410.0,15%,5%,42257.0,122,100.0,Renewable,10199.0,"For Family Health Insurance Premier, access Rs.433410.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 122 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Rheumatoid Arthritis,Basic,475907.0,5%,20%,133253.0,178,87.0,Renewable,10206.0,"Benefit from Rs.475907.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 178 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Rheumatoid Arthritis,Lite,610400.0,10%,10%,99495.0,152,92.0,Renewable,10449.0,"Family Health Insurance Lite provides Rs.610400.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 152 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Rheumatoid Arthritis,Premier,741635.0,15%,5%,72308.0,133,98.0,Renewable,10610.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.741635.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 133 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Scarlet Fever,Basic,174428.0,5%,20%,48839.0,87,87.0,Renewable,10134.0,"For Family Health Insurance Basic, receive Rs.174428.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 87 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Scarlet Fever,Lite,280485.0,10%,10%,45718.0,47,91.0,Renewable,10422.0,"For Family Health Insurance Lite, enjoy Rs.280485.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 47 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Scarlet Fever,Premier,381535.0,15%,5%,37198.0,50,98.0,Renewable,10486.0,"Family Health Insurance Premier offers Rs.381535.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 50 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Seasonal Affective Disorder,Basic,205854.0,5%,20%,57638.0,165,88.0,Renewable,10196.0,"For Family Health Insurance Basic, receive Rs.205854.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 165 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Seasonal Affective Disorder,Lite,345749.0,10%,10%,56356.0,154,95.0,Renewable,10329.0,"For Family Health Insurance Lite, enjoy Rs.345749.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 154 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Seasonal Affective Disorder,Premier,450565.0,15%,5%,43929.0,126,96.0,Renewable,10509.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.450565.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 126 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Sepsis,Basic,204296.0,5%,20%,57202.0,167,87.0,Renewable,10284.0,"For Family Health Insurance Basic, receive Rs.204296.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 167 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Sepsis,Lite,322254.0,10%,10%,52526.0,155,93.0,Renewable,10369.0,"For Family Health Insurance Lite, enjoy Rs.322254.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 155 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Sepsis,Premier,447330.0,15%,5%,43614.0,139,98.0,Renewable,10405.0,"Family Health Insurance Premier offers Rs.447330.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 139 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Severe Chickenpox,Basic,150784.0,5%,20%,42219.0,49,90.0,Renewable,10161.0,Family Health Insurance Basic offers Rs.150784.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 49 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Severe Chickenpox,Lite,295427.0,10%,10%,48153.0,74,94.0,Renewable,10416.0,"For Family Health Insurance Lite, enjoy Rs.295427.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 74 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Severe Chickenpox,Premier,398848.0,15%,5%,38887.0,32,96.0,Renewable,10647.0,"For Family Health Insurance Premier, access Rs.398848.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 32 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Severe Coma,Basic,514680.0,5%,20%,144110.0,172,89.0,Renewable,10190.0,Family Health Insurance Basic offers Rs.514680.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 172 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Severe Coma,Lite,615587.0,10%,10%,100340.0,154,95.0,Renewable,10277.0,"For Family Health Insurance Lite, enjoy Rs.615587.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 154 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Severe Coma,Premier,753460.0,15%,5%,73462.0,121,100.0,Renewable,10381.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.753460.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 121 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Severe Covid,Basic,374711.0,5%,20%,104919.0,10,87.0,Renewable,10005.0,"Benefit from Rs.374711.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 10 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Severe Covid,Lite,505542.0,10%,10%,82402.0,78,92.0,Renewable,10295.0,"Family Health Insurance Lite provides Rs.505542.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 78 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Severe Covid,Premier,625986.0,15%,5%,61033.0,12,96.0,Renewable,10518.0,"For Family Health Insurance Premier, access Rs.625986.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 12 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Social Anxiety Disorder,Basic,198456.0,5%,20%,55567.0,178,90.0,Renewable,10028.0,Family Health Insurance Basic offers Rs.198456.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 178 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Social Anxiety Disorder,Lite,327084.0,10%,10%,53313.0,153,91.0,Renewable,10051.0,"Family Health Insurance Lite provides Rs.327084.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 153 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Social Anxiety Disorder,Premier,429622.0,15%,5%,41888.0,136,98.0,Renewable,10308.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.429622.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 136 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Soft Tissue Injury,Basic,297933.0,5%,20%,83421.0,76,89.0,Renewable,10174.0,Family Health Insurance Basic offers Rs.297933.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 76 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Soft Tissue Injury,Lite,403311.0,10%,10%,65739.0,64,95.0,Renewable,10237.0,"For Family Health Insurance Lite, enjoy Rs.403311.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 64 days, crafted to be covering all family members with comprehensive benefits.",20%
